name,center_lat,center_lng,rating,google Maps URL,opening hours,bearing,duration,zoom,pitch,speed,active
Starbucks,27.781358,-82.638711,4.3,https://maps.google.com/?cid=2778578913018677426,"Monday: 5:00 AM – 7:00 PM, Tuesday: 5:00 AM – 7:00 PM, Wednesday: 5:00 AM – 7:00 PM, Thursday: 5:00 AM – 7:00 PM, Friday: 5:00 AM – 7:00 PM, Saturday: 5:00 AM – 7:30 PM, Sunday: 5:30 AM – 7:30 PM",,,,,,
Kahwa Coffee,27.7774463,-82.63539340000001,4.7,https://maps.google.com/?cid=15900920679537083225,"Monday: 6:00 AM – 6:30 PM, Tuesday: 6:00 AM – 6:30 PM, Wednesday: 6:00 AM – 6:30 PM, Thursday: 6:00 AM – 6:30 PM, Friday: 6:00 AM – 6:30 PM, Saturday: 7:00 AM – 6:30 PM, Sunday: 7:00 AM – 6:30 PM",,,,,,
Kahwa Coffee,27.7692953,-82.63588349999999,4.6,https://maps.google.com/?cid=12188732188056634830,"Monday: 7:00 AM – 6:30 PM, Tuesday: 7:00 AM – 6:30 PM, Wednesday: 7:00 AM – 6:30 PM, Thursday: 7:00 AM – 6:30 PM, Friday: 7:00 AM – 6:30 PM, Saturday: 7:00 AM – 6:30 PM, Sunday: 8:00 AM – 6:00 PM",,,,,,
Driftwood Cafe,27.7736767,-82.62233069999999,4.2,https://maps.google.com/?cid=8288735250411299345,"Monday: 8:00 AM – 9:00 PM, Tuesday: 8:00 AM – 9:00 PM, Wednesday: 8:00 AM – 9:00 PM, Thursday: 8:00 AM – 9:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 8:00 AM – 9:00 PM",,,,,,
NIPPY Iced Coffee,27.7658602,-82.66363659999999,3.7,https://maps.google.com/?cid=9119671251450546975,"Monday: 7:00 AM – 7:00 PM, Tuesday: 7:00 AM – 7:00 PM, Wednesday: 7:00 AM – 7:00 PM, Thursday: 7:00 AM – 7:00 PM, Friday: 7:00 AM – 7:00 PM, Saturday: 7:00 AM – 7:00 PM, Sunday: 7:00 AM – 7:00 PM",,,,,,
Starbucks,27.772277,-82.63535000000002,4.2,https://maps.google.com/?cid=14539395634465589824,"Monday: 5:00 AM – 7:00 PM, Tuesday: 5:00 AM – 7:00 PM, Wednesday: 5:00 AM – 7:00 PM, Thursday: 5:00 AM – 7:00 PM, Friday: 5:00 AM – 7:00 PM, Saturday: 5:30 AM – 7:00 PM, Sunday: 5:30 AM – 7:00 PM",,,,,,
The Blend (Magnolia Heights) Coffee & Cocktails,27.7995423,-82.65480219999999,3.9,https://maps.google.com/?cid=824880491332248616,"Monday: 6:30 AM – 9:00 PM, Tuesday: 6:30 AM – 9:00 PM, Wednesday: 6:30 AM – 9:00 PM, Thursday: 6:30 AM – 9:00 PM, Friday: 6:30 AM – 9:00 PM, Saturday: 7:00 AM – 9:00 PM, Sunday: 7:00 AM – 7:00 PM",,,,,,
Bobavita Coffee and Boba Bar,27.7712448,-82.65529579999999,5,https://maps.google.com/?cid=12923002462305884211,"Monday: Closed, Tuesday: 10:00 AM – 8:00 PM, Wednesday: 10:00 AM – 8:00 PM, Thursday: 10:00 AM – 8:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: 11:00 AM – 6:00 PM",,,,,,
Kahwa Coffee,27.7273745,-82.63855939999999,4.6,https://maps.google.com/?cid=11485860436405787993,"Monday: 6:00 AM – 6:00 PM, Tuesday: 6:00 AM – 6:00 PM, Wednesday: 6:00 AM – 6:00 PM, Thursday: 6:00 AM – 6:00 PM, Friday: 6:00 AM – 6:00 PM, Saturday: 7:00 AM – 6:00 PM, Sunday: 7:00 AM – 6:00 PM",,,,,,
Dunkin',27.79151019999999,-82.67431289999999,4.1,https://maps.google.com/?cid=13560459043983951373,"Monday: 5:00 AM – 8:00 PM, Tuesday: 5:00 AM – 8:00 PM, Wednesday: 5:00 AM – 8:00 PM, Thursday: 5:00 AM – 8:00 PM, Friday: 5:00 AM – 8:00 PM, Saturday: 5:00 AM – 8:00 PM, Sunday: 5:00 AM – 8:00 PM",,,,,,
Black Crow Coffee Co Grand Central Dist,27.7703427,-82.662814,4.6,https://maps.google.com/?cid=16448814812218201523,"Monday: 7:00 AM – 5:00 PM, Tuesday: 7:00 AM – 5:00 PM, Wednesday: 7:00 AM – 5:00 PM, Thursday: 7:00 AM – 5:00 PM, Friday: 7:00 AM – 5:00 PM, Saturday: 7:00 AM – 5:00 PM, Sunday: 7:00 AM – 5:00 PM",,,,,,
Grassroots Kava House,27.7713495,-82.64809129999999,4.6,https://maps.google.com/?cid=17473183524070209013,"Monday: 7:00 AM – 12:00 AM, Tuesday: 7:00 AM – 12:00 AM, Wednesday: 7:00 AM – 12:00 AM, Thursday: 7:00 AM – 12:00 AM, Friday: 7:00 AM – 12:00 AM, Saturday: 8:00 AM – 12:00 AM, Sunday: 8:00 AM – 12:00 AM",,,,,,
Dunkin',27.77932599999999,-82.6798163,3.5,https://maps.google.com/?cid=13881826343162928279,"Monday: 5:00 AM – 7:00 PM, Tuesday: 5:00 AM – 7:00 PM, Wednesday: 5:00 AM – 7:00 PM, Thursday: 5:00 AM – 7:00 PM, Friday: 5:00 AM – 7:00 PM, Saturday: 5:00 AM – 7:00 PM, Sunday: 5:00 AM – 7:00 PM",,,,,,
